,2021 Jan,,,,2021 Feb,,,,2021 Mar,,,,2021 Apr,,,,2021 May,,,,2021 Jun,,,,2021 Jul,,,,2021 Aug,,,,2021 Sep,,,,2021 Oct,,,,2021 Nov,,,,2021 Dec,,,,2022 Jan,,,,2022 Feb,,,,2022 Mar,,,,2022 Apr,,,,2022 May,,,,2022 Jun,,,,2022 Jul,,,,2022 Aug,,,,2022 Sep,,,,2022 Oct,,,,2022 Nov,,,,2022 Dec,,,
States_Code,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths
AK,6557,201166,58,960,3627,218686,28,1136,3644,232950,21,1219,5695,315585,34,1610,2046,267122,22,1427,807,271506,5,1473,3887,349087,12,1888,10362,311523,52,1631,27496,483059,128,2404,22076,496884,149,2588,12793,562892,154,3264,7571,746409,108,4590,50263,716351,103,4080,28181,899143,82,4495,8806,1182762,65,6021,5552,972122,23,4944,6534,996220,23,5047,10886,1289429,0,6350,8516,1071431,5,5095,7579,1104903,29,5171,4231,1407644,25,6595,1874,1136798,47,5444,1378,1142383,23,5550,1960,1436943,19,7033
AL,92267,1673923,2395,24189,41078,1914418,2572,36177,22504,2020678,740,41086,14416,2604950,395,53597,15743,2144925,256,44093,6568,2189118,186,45000,28067,2801910,190,57129,88190,2527072,492,47121,129120,3767789,2200,65428,33870,3259392,1232,60331,15563,3355960,667,63697,36101,4292705,354,81475,281623,4187172,461,66812,113427,5026597,1092,70421,19658,6446509,1278,94423,5259,5192589,274,77891,10247,5222814,93,78480,44819,6667833,89,98498,63735,5573374,150,79320,44858,5774614,151,79932,53971,7508123,354,101164,13401,6107903,138,81933,13794,6161942,98,82414,28538,7808505,126,103532
AR,64908,1104209,855,20971,24912,1264733,269,22836,7263,1308929,163,23571,6004,1664647,109,30061,5436,1355606,76,24396,6328,1377455,106,24746,37757,1825383,605,32647,61245,1693260,876,29550,50640,2404439,571,40476,15563,2029388,340,34120,14653,2084128,246,35072,40537,2728181,565,45929,215167,2802234,1015,40118,43822,3273730,479,43303,6233,4153147,286,55529,2593,3337274,145,45314,6272,3355168,85,45604,22479,4265142,133,57647,35396,3543385,109,46547,26330,3665821,191,47228,25059,4713889,253,59988,7735,3823246,321,49417,7671,3854340,93,50102,16658,4880741,141,63172
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,13,0,0,1,18,0,0,6,52,0,0,7,65,0,0,54,208,0,0,3411,6753,3,3,2334,22034,23,73,293,24039,5,118,304,31410,0,155,1057,27952,2,128,697,32204,1,133,79,41093,0,170,10,33008,0,136,5,33038,0,136,4,41324,0,170
AZ,226072,2645514,3925,44288,73407,3169664,3050,58794,25860,3319971,1149,65923,22944,4255879,439,85561,17540,3489493,289,69844,12713,3546180,298,70999,30420,4529913,318,90327,69864,3852678,452,73838,99530,5273297,1303,96850,65892,4529897,1104,82428,95517,4850937,1053,86652,115832,6610801,2073,116440,431423,6409619,1728,100878,172175,7746946,1806,108120,35502,9960896,1563,142493,14344,8071427,683,119306,28103,8144116,348,120977,75940,10468315,216,152068,70862,8682419,253,122670,49284,8919348,279,123772,25847,11316232,322,156213,16326,9123829,179,125921,36674,9229100,161,126541,53774,11807852,473,159722
CA,998453,11917556,12579,128871,299988,14076722,12049,181716,102097,14676303,7383,218826,90766,18794001,3297,295304,43969,15288118,1448,244357,29782,15426809,890,248322,131971,19613428,1132,315625,347409,16822970,1285,256795,363735,22946240,3715,334778,167371,19259764,2643,280809,158312,19918490,2206,289804,377000,25983711,2263,373874,2708256,27988550,2687,308408,793717,34997386,5260,326463,170717,45168338,4470,433650,113704,36573653,1338,355333,294790,37433053,1103,360338,582694,49180801,1028,455537,555985,41685078,1077,368719,374681,43530319,1201,373340,246769,55871343,1362,473115,99967,45276287,895,382746,123762,45690581,648,385696,335732,58363297,1056,486233
CO,57845,1508380,701,21677,33648,1676890,334,23516,28814,1795892,145,24295,51471,2441190,195,31130,33570,2137107,250,25875,13059,2214905,198,26782,15092,2828346,176,34336,31510,2361816,189,28172,64449,3211697,493,37025,61158,2823248,628,32012,90310,3140611,996,35374,92858,4355442,1170,49909,382187,4574878,922,43694,106656,5524263,862,47778,17283,7068089,255,61935,13463,5705925,51,49941,34968,5806911,76,50184,74682,7558433,230,63530,52767,6305318,184,51712,32816,6468234,163,52405,25693,8220243,163,66229,17374,6656521,106,53544,26932,6745759,173,54090,34316,8596536,264,68750
CT,63676,901503,1012,26468,30845,1072040,617,29552,23838,1168629,258,31086,35939,1627645,229,39915,9019,1378640,147,32716,1860,1393341,43,33036,4665,1754519,16,41398,15627,1451276,49,33232,21048,1910050,294,42333,11536,1589751,123,34845,14857,1638854,113,35284,85911,2281912,295,45094,187866,2526772,741,38295,31146,2852111,537,41060,14537,3653364,341,53318,19938,2989260,60,43268,44535,3129987,98,43599,30111,4102876,108,55066,21225,3374208,57,44329,20185,3459657,93,44669,21172,4421304,170,56586,16454,3615880,83,45658,12707,3671538,124,46136,22759,4675029,194,58347
DC,7107,133350,115,3395,4078,154670,106,3877,3652,169230,52,4157,3938,230524,51,5429,1289,193833,27,4479,462,196645,10,4552,984,248478,7,5723,3888,209891,7,4606,6840,291549,19,5836,2994,252118,13,4735,2520,262064,9,4777,25535,374882,14,6013,37434,481287,72,5007,4635,531294,35,5223,2484,677999,14,6632,5345,559380,9,5338,6327,579381,2,5364,8287,767300,7,6737,5541,639413,14,5431,3475,657511,13,5483,2786,836348,7,6911,1350,676547,9,5568,1608,682590,1,5605,2693,863674,8,7043
