,,2021 Jan,,2021 Feb,,2021 Mar,,2021 Apr,,2021 May,,2021 Jun,,2021 Jul,,2021 Aug,,2021 Sep,,2021 Oct,,2021 Nov,,2021 Dec,,2022 Jan,,2022 Feb,,2022 Mar,,2022 Apr,,2022 May,,2022 Jun,,2022 Jul,,2022 Aug,,2022 Sep,,2022 Oct,,2022 Nov,,2022 Dec,
States,States_Code,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed
Alabama,AL,3503879,8976725,17021257,26557725,41576967,62823680,65948293,105132970,85481085,130685520,95297678,141135040,103831573,147900380,118849569,173991440,117718522,174898370,136241000,201540050,126144024,190294410,147028211,215405160,151449879,225019350,150758668,226466460,190176696,289579840,167974430,258019280,170585592,264443880,108578279,169843280,25813088,41303760,32684058,52920200,26350869,43863560,26645792,45312860,33843263,58247340,27641651,47408760
Alaska,AK,1384270,2759925,5081707,7425305,10534628,15095205,14706803,21502320,17549659,23709990,19014366,24651740,17797049,21902570,22074892,27553925,21345559,28331380,24137830,32183125,22860127,30860385,26868330,35292065,24128304,31324005,24822022,32621455,34325897,45443515,30539742,40827455,20813260,28225970,1174755,1667765,4736208,6767760,5995672,8712825,4854696,7274360,4995544,7679060,6407678,9990815,5199274,8212660
American Samoa,AS,113040,290250,417514,762150,694047,1168400,1049315,1353940,1218576,1620900,1334286,1620900,1478095,1638900,1674899,1784730,1590355,1679080,1863065,2001630,1667561,1786380,1961941,2124430,2126967,2239060,2137027,2314850,3013634,3397810,2882544,3117270,2970472,3172470,2001980,2185380,448799,492840,566908,616050,456525,500740,,,573228,634950,459636,512550
Arizona,AZ,6062374,13584575,29266316,38896350,81615560,99234405,130022281,165935390,166734716,220387610,187279133,239043410,208045786,249201640,227354879,277001790,224383979,270693190,238187209,288856780,229139668,283959650,271945474,329949120,283639003,343917880,284438801,345069700,361479586,440714320,322523596,394216140,330777699,406452440,224500340,276983960,50801258,63721280,64475422,81718000,52313403,67942780,13285173,17487320,69935257,92688150,56955123,75649170
Arkansas,AR,3294410,6245125,12537740,17536040,28224598,41239050,45980213,68281510,58499800,81231640,64729945,84210160,69788924,87184630,81543376,104909200,81991483,109375420,90963468,122945300,84668433,117543650,99196998,133196710,102140594,140576910,101157496,143071700,127549565,183606340,113027152,163964060,115315709,169795860,77835569,115786740,17505401,26849120,22224618,34640600,17961127,28824020,18379163,30125920,23595482,39082400,19150749,31969330
California,CA,33789929,78655050,160840527,227050275,409917920,540066960,738294745,944896940,1042604608,1317013400,1220198169,1450828780,1319259319,1498656040,1444288349,1637392795,1384335715,1600455100,1521001178,1757635805,1418804277,1684120785,485296959,571917110,345145726,413942975,1618921099,1941883385,1079619185,1296696915,,,1139924660,1377054125,1234215347,1499564080,313652138,387868050,317592363,396558040,,,,,85284471,113415485,344345153,460028790
Colorado,CO,6339063,10758275,25929804,33220330,62035524,77014340,108220698,131571500,152953244,186844220,177656465,207463100,190218756,213928970,205912539,231864825,196374542,224532500,215879710,248699525,203758700,239864745,245453499,285207505,255987804,293550530,254874685,292403395,322041420,371190825,285581541,331609225,292201428,342005025,198368841,234065950,44930509,54308900,57010903,69803775,46279906,58460800,47905935,61979220,62341657,81275245,50951670,66987540
Connecticut,CT,5001838,7739525,18935702,23737350,42913301,51568365,78898690,97021890,110171727,126989630,127085572,139524870,135093447,144438640,145805837,158560435,138193377,153967120,151479651,170376315,142201104,163565565,170942343,192869315,180568319,203679440,172910021,195595920,227752090,259835815,202598175,232779975,207754352,240553075,140677952,164431750,31685173,37723800,40050844,48317625,32453707,40575500,33492199,42703000,43428989,55911015,35384650,45430390
Delaware,DE,1007957,1968850,3758048,5003680,10544771,13877115,18540626,23692250,25699764,33377780,29712491,37765110,31980847,39146640,34726248,43144415,32995032,42548670,36367604,46787945,27000323,35867790,36300452,46088820,42686038,54010790,42760514,54382355,54115318,69695905,48137175,62550285,49509851,64728985,33629330,44335090,7579548,10237040,9605474,13153375,7788328,11073620,8006429,11708120,10112769,15375465,8383969,12599980
