States,Total_vaccinations,Total_distributed,People_vaccinated,People_fully_vaccinated_per_hundred,Total_vaccinations_per_hundred,People_fully_vaccinated,People_vaccinated_per_hundred,Total_boosters_per_hundred,Total_boosters,Share_doses_used,Daily_vaccinations_per_million,Daily_vaccinations,Daily_vaccinations_raw,Distributed_per_hundred
2020,9044666,,,,2.72,,,,,,6539,2170792,57909,
Dec,9044666,,,,2.72,,,,,,6539,2170792,57909,
United States,9044666,,,,2.72,,,,,,6539,2170792,57909,
2021,1.88E+11,2.28E+11,1.03E+11,740736.48,1656489.25,82729169119,908374.33,54030.48,5774224927,16336.916,88631462,1020819840,942633145,2046129.46
Jan,757737933,1363160675,569925372,981.73,6322.33,98916299,5171.12,,,529.519,3821259,46802677,41419251,13078.74
Alabama,3503879,8976725,3036613,9.26,71.44,452731,61.94,,,6.349,47990,235312,245612,183.09
Alaska,1384270,2759925,1117874,33.04,189.24,241622,152.81,,,8.381,112250,82115,66460,377.27
American Samoa,113040,290250,96892,24.28,202.97,13518,173.99,,,6.43,152309,8482,6928,521.18
Arizona,6062374,13584575,5124936,11.57,83.3,841572,70.4,,,7.311,55295,402474,383559,186.62
Arkansas,3294410,6245125,2732801,16.87,109.16,508560,90.55,,,8.669,106480,321332,238915,206.95
Bureau of Prisons,387141,410850,289025,,,77582,,,,16.062,,15818,15679,
California,33789929,78655050,28021908,13.88,85.53,5492167,70.93,,,7.02,55709,2201238,2081579,199.07
Colorado,6339063,10758275,5136649,19.53,110.07,1124167,89.2,,,9.261,56183,323555,262658,186.78
Connecticut,5001838,7739525,4083873,17.8,140.28,633955,114.56,,,10.802,73948,263650,241789,217.07
Delaware,1007957,1968850,825687,16.29,103.5,158396,84.78,,,8.39,63384,61722,62077,202.18
Dept of Defense,5182413,10686175,4533519,,,536443,,,,8.053,,302120,288440,
District of Columbia,973744,1644650,718912,26.6,137.97,187687,101.86,,,10.248,72524,51183,40660,233.04
Federated States of Micronesia,39958,241400,39753,0,38.58,49,38.34,,,2.689,32792,3399,2799,232.96
Florida,21530515,42289725,19125693,10.61,100.23,2278067,89.07,,,7.969,61215,1314750,948791,196.86
Georgia,9129759,20692350,7819705,8.84,85.98,941519,73.64,,,7.177,62598,664627,654584,194.89
Guam,162952,575300,130234,15.06,98.35,24997,78.53,,,4.789,84890,14072,18663,347.03
Hawaii,1250364,2858900,952669,16.1,88.31,227600,67.28,,,6.388,60330,85420,63057,201.93
Idaho,1347619,3117175,1117378,12,75.42,214279,62.52,,,7.176,44039,78699,67696,174.43
Illinois,11047271,22355875,8704482,16.7,87.19,2115403,68.69,,,8.253,45175,572431,576953,176.41
Indian Health Svc,2321847,5881950,1831503,,,350921,,,,6.548,,130253,127465,
Indiana,7144065,13495900,5821494,17.6,106.13,1184320,86.48,,,8.758,62820,422913,340965,200.46
Iowa,2852516,5408375,2365250,13.89,90.41,438845,74.97,,,8.339,44352,139933,116137,171.44
Kansas,2448771,5588150,2026011,12.44,84.06,362249,69.55,,,7.336,43281,126090,122546,191.8
Kentucky,4547107,8145250,4004425,10.33,101.78,460998,89.63,,,9.346,56675,253211,231300,182.31
Long Term Care,39633963,13657350,3210878,,,19329,,,,0.715,,2585673,2371466,
Louisiana,5103586,8725075,4369576,14.7,109.79,683749,93.99,,,9.764,62202,289169,243320,187.7
Maine,1573305,2957075,1238114,20.94,117.06,281362,92.1,,,8.886,52781,70950,72559,219.99
Marshall Islands,40864,217600,39423,1.65,69.94,965,67.49,,,3.003,53003,3096,2854,372.48
Maryland,5349775,12181400,4700968,10.31,88.51,624548,77.76,,,7.263,55389,334865,306331,201.5
Massachusetts,6575752,14117575,5550134,14.34,95.39,987421,80.51,,,7.782,49225,339299,313397,204.83
Michigan,10517322,18420650,8690962,16.63,105.31,1661338,87.03,,,9.42,75574,754752,629935,184.44
Minnesota,5305028,11276475,4283194,17.62,94.08,993373,75.94,,,7.788,50172,282946,303222,199.95
Mississippi,2549637,5642875,2301281,7.74,85.67,230572,77.32,,,7.403,58653,174562,152613,189.6
Missouri,5008534,11176550,3845743,17.06,81.59,1045386,62.64,,,7.459,39073,239815,236793,182.13
Montana,1189986,1981350,952017,20.54,111.34,219376,89.09,,,10.047,49476,52878,55913,185.38
Nebraska,2089544,4102775,1704074,18.67,108.03,361219,88.11,,,8.548,47974,92802,90778,212.11
Nevada,2394475,4838325,1984053,11,77.75,339220,64.43,,,8.117,48398,149084,160259,157.09
New Hampshire,1498038,2790450,1188998,16.32,110.17,222051,87.46,,,9.007,52992,72055,68661,205.22
New Jersey,8257763,15600350,7169028,11.65,93,1035759,80.71,,,8.301,59084,524794,448940,175.64
New Mexico,2937407,4316650,2319958,24.78,140.08,519353,110.65,,,11.239,80772,169365,147067,205.85
New York State,21065311,39535100,17859424,13.89,108.28,2695616,91.81,,,8.82,62579,1217375,1053077,203.27
North Carolina,9733409,20160250,8382873,12.42,92.81,1301858,79.92,,,7.881,67124,704007,642092,192.23
North Dakota,1132835,1446325,883827,29.56,148.63,225315,115.97,,,13.156,64979,49518,48238,189.77
Northern Mariana Islands,126832,317050,81527,69.47,222.96,39516,143.31,,,6.802,119036,6771,4865,557.43
Ohio,10237515,20998725,9152976,9.16,87.59,1070280,78.31,,,8.075,47281,552638,545467,179.63
Oklahoma,4996046,8435425,4202001,17.05,126.26,674763,106.21,,,9.881,64819,256484,241459,213.17
Oregon,4380794,8268800,3761201,14.17,103.87,597157,89.19,,,8.766,66526,280591,232505,196.03
Pennsylvania,11771152,25231625,9611107,15.17,91.96,1944428,75.06,,,7.78,52617,673588,649959,197.09
Puerto Rico,2788902,6644275,2214951,16.71,87.31,533932,69.35,,,7.029,52670,168217,149442,208.01
Republic of Palau,16230,54000,16223,0.06,90.64,6,90.58,,,2.704,179652,3217,791,301.59
Rhode Island,1098499,2258250,874981,20.41,103.71,216283,82.58,,,8.271,45515,48217,45076,213.17
South Carolina,4309071,7669550,3608395,12.76,83.69,656139,70.08,,,9.115,64313,331123,293127,148.96
South Dakota,1278225,1812275,996841,30.62,144.49,271013,112.69,,,11.836,58074,51376,53253,204.84
Tennessee,7105363,13383175,5477334,20.61,104.04,1408229,80.22,,,8.919,45518,310855,309481,195.96
Texas,28422289,48992875,23971424,14.85,98.02,4301585,82.66,,,9.749,48807,1415220,1253671,168.96
United States,380542286,677204475,284420742,14.93,114.64,49584313,85.67,,,8.297,72910,24205764,20832540,203.98
Utah,3368785,5723700,2871952,11.77,105.08,376465,89.58,,,9.786,59051,189314,156281,178.53
Vermont,804326,1449950,605844,22.31,128.87,139250,97.09,,,9.266,66175,41293,33312,232.37
Veterans Health,9933800,19555675,8431690,,,1461384,,,,8.344,,660232,607086,
Virgin Islands,55401,234750,45816,7.03,52.93,7353,43.77,,,3.799,44373,4645,4624,224.25
Virginia,7904408,17608200,6370402,10.75,92.59,918450,74.65,,,7.328,63612,542971,559954,206.3
Washington,7239895,14197650,5950097,14.02,95.08,1069505,78.14,,,8.391,55973,426218,410183,186.44
West Virginia,3134373,4042575,2317166,32.54,174.91,583415,129.32,,,13.013,84550,151531,137994,225.53
